,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
168,168,ardeer,3022, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,
169,169,ardeer,3022, 2_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
170,170,ardeer,3022, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
171,171,burnside,3023, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,
172,172,burnside,3023, 3_house,$700k,43 days,-,27,825k,540k,420.0,$700k,22.8%,27.0,$570k,-4.7%,13.0,$598k,6.8%,25.0,$560k,-2.6%,22.0,$575k,16.2%,28.0
173,173,burnside,3023, 4_house,$830k,46 days,58%,41,1.175m,706k,490.0,$830k,5.6%,41.0,$786k,9.9%,24.0,$715k,13.9%,22.0,$628k,-,14.0,$628k,5.5%,24.0
174,174,burnside,3023, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,
175,175,burnside-heights,3023, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
176,176,burnside-heights,3023, 3_house,$680k,40 days,58%,37,801k,543k,420.0,$680k,8.8%,37.0,$625k,8.1%,23.0,$578k,3.2%,32.0,$560k,-4.4%,23.0,$586k,16%,40.0
177,177,burnside-heights,3023, 4_house,$854k,27 days,81%,36,1.15m,642k,468.0,$854k,16.8%,36.0,$731k,6.7%,42.0,$685k,1.5%,32.0,$675k,3.1%,26.0,$655k,10.5%,41.0
178,178,burnside-heights,3023, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,
179,179,cairnlea,3023, 3_house,$780k,22 days,-,25,920k,640k,420.0,$780k,12.2%,25.0,$695k,5.5%,14.0,$659k,0.6%,26.0,$655k,1.6%,15.0,$645k,9.3%,34.0
180,180,cairnlea,3023, 4_house,$968k,30 days,-,36,1.36m,765k,470.0,$968k,21%,36.0,$800k,-0.6%,45.0,$805k,3.2%,35.0,$780k,-,29.0,$780k,9.4%,41.0
181,181,cairnlea,3023, 5_house,$1.12m,41 days,-,13,1.406m,850k,,$1.12m,19.4%,13.0,$938k,6.3%,12.0,$882k,-17.6%,12.0,$1.071m,24.8%,10.0,$858k,6.2%,12.0
182,182,cairnlea,3023, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
183,183,cairnlea,3023, 2_unit,-,-,-,8,,,,,,,,,,,,,,,,,,
184,184,cairnlea,3023, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
185,185,caroline-springs,3023, 2_house,$580k,22 days,-,19,975k,420k,380.0,$580k,13.7%,19.0,$510k,8.5%,13.0,$470k,2.2%,11.0,$460k,-5.2%,16.0,$485k,11.2%,21.0
186,186,caroline-springs,3023, 3_house,$655k,52 days,67%,187,1m,485k,410.0,$655k,9.2%,187.0,$600k,6.2%,168.0,$565k,4.1%,123.0,$543k,-4.7%,138.0,$570k,11.8%,198.0
187,187,caroline-springs,3023, 4_house,$863k,46 days,51%,140,1.339m,673k,480.0,$863k,12.8%,140.0,$765k,9.1%,121.0,$701k,7.8%,126.0,$650k,-6.5%,141.0,$695k,9.4%,159.0
188,188,caroline-springs,3023, 5_house,$998k,84 days,67%,20,1.558m,800k,,$998k,10.8%,20.0,$901k,6%,20.0,$850k,2.4%,17.0,$830k,1.2%,17.0,$820k,6.2%,33.0
189,189,caroline-springs,3023, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
190,190,caroline-springs,3023, 2_unit,$438k,170 days,-,20,475k,348k,380.0,$438k,1.9%,20.0,$430k,0.5%,21.0,$428k,1.4%,18.0,$422k,0.5%,15.0,$420k,-5.6%,46.0
191,191,caroline-springs,3023, 3_unit,$550k,40 days,-,17,680k,425k,378.0,$550k,-2.3%,17.0,$563k,14.9%,16.0,$490k,-,12.0,,-,2.0,$443k,3.5%,21.0
192,192,deer-park,3023, 2_house,$495k,183 days,-,17,693k,380k,360.0,$495k,6.5%,17.0,$465k,-,12.0,,-,8.0,$470k,4.4%,14.0,$450k,12.5%,18.0
193,193,deer-park,3023, 3_house,$617k,48 days,49%,180,780k,495k,370.0,$617k,5.5%,180.0,$585k,7.3%,147.0,$545k,0.4%,150.0,$543k,-3.9%,143.0,$565k,20.7%,190.0
194,194,deer-park,3023, 4_house,$709k,47 days,73%,54,935k,550k,430.0,$709k,9.4%,54.0,$648k,4.3%,76.0,$621k,5.1%,53.0,$591k,-0.7%,59.0,$595k,11.8%,61.0
195,195,deer-park,3023, 5_house,$718k,-,-,10,998k,550k,,$718k,-,10.0,,-,4.0,$902k,-,10.0,,-,4.0,$643k,-,11.0
196,196,deer-park,3023, 2_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
197,197,deer-park,3023, 3_unit,$532k,45 days,-,14,660k,450k,355.0,$532k,-,14.0,,-,6.0,$498k,-,11.0,,-,3.0,$448k,17.9%,12.0
198,198,manor-lakes,3024, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,
199,199,manor-lakes,3024, 3_house,$560k,39 days,-,79,725k,435k,355.0,$560k,8.5%,79.0,$516k,5.3%,64.0,$490k,1%,43.0,$485k,-1%,80.0,$490k,16.7%,94.0
200,200,manor-lakes,3024, 4_house,$653k,35 days,-,131,769k,550k,390.0,$653k,8.8%,131.0,$600k,5.1%,150.0,$571k,2.9%,112.0,$555k,0.9%,96.0,$550k,15.8%,136.0
201,201,manor-lakes,3024, 5_house,-,-,-,9,,,,,,,,,,,,,,,,,,
202,202,mount-cottrell,3024, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,
203,203,mount-cottrell,3024, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,
204,204,mount-cottrell,3024, 4_house,-,-,-,9,,,,,,,,,,,,,,,,,,
205,205,wyndham-vale,3024, 2_house,$420k,48 days,-,22,494k,375k,320.0,$420k,-,22.0,,-,9.0,$420k,7.7%,13.0,$390k,-1.3%,15.0,$395k,-,21.0
206,206,wyndham-vale,3024, 3_house,$510k,40 days,78%,288,655k,410k,340.0,$510k,10.9%,288.0,$460k,2.9%,165.0,$447k,1.6%,164.0,$440k,-2.7%,179.0,$452k,22.2%,228.0
207,207,wyndham-vale,3024, 4_house,$615k,49 days,74%,255,801k,501k,375.0,$615k,12.2%,255.0,$548k,0.6%,175.0,$545k,3.6%,153.0,$526k,0.6%,111.0,$523k,20.2%,148.0
208,208,wyndham-vale,3024, 5_house,$773k,75 days,-,22,960k,550k,440.0,$773k,24.7%,22.0,$620k,-,11.0,,-,4.0,,-,7.0,,-,9.0
209,209,wyndham-vale,3024, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
210,210,wyndham-vale,3024, 2_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
211,211,wyndham-vale,3024, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
212,212,altona-north,3025, 2_house,$702k,68 days,43%,24,1.19m,600k,450.0,$702k,10.6%,24.0,$635k,0.8%,74.0,$630k,1.6%,37.0,$620k,1.6%,27.0,$610k,3%,26.0
213,213,altona-north,3025, 3_house,$955k,46 days,42%,145,1.25m,744k,480.0,$955k,13.7%,145.0,$840k,5%,195.0,$800k,5.3%,169.0,$760k,-8.4%,123.0,$830k,7.4%,147.0
214,214,altona-north,3025, 4_house,$1.15m,49 days,47%,60,1.366m,900k,600.0,$1.15m,19.2%,60.0,$965k,5.1%,76.0,$918k,4.3%,38.0,$880k,-10.5%,36.0,$983k,15.6%,34.0
215,215,altona-north,3025, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
216,216,altona-north,3025, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
217,217,altona-north,3025, 2_unit,$636k,67 days,-,18,730k,330k,360.0,$636k,6%,18.0,$600k,23.7%,23.0,$485k,-14.2%,19.0,$565k,-3.9%,13.0,$588k,39.7%,14.0
218,218,altona-north,3025, 3_unit,$784k,80 days,52%,28,955k,560k,463.0,$784k,5.2%,28.0,$745k,7.3%,31.0,$694k,-,18.0,,-,7.0,$708k,16.4%,16.0
219,219,derrimut,3026, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,
220,220,derrimut,3026, 3_house,$686k,47 days,-,28,770k,500k,420.0,$686k,7.2%,28.0,$640k,4.1%,31.0,$615k,3.4%,28.0,$595k,-0.7%,33.0,$599k,11.8%,29.0
221,221,derrimut,3026, 4_house,$786k,27 days,77%,40,980k,630k,460.0,$786k,9.2%,40.0,$720k,3.3%,50.0,$697k,8.9%,41.0,$640k,-1.5%,56.0,$650k,6%,55.0
222,222,derrimut,3026, 5_house,-,-,-,5,,,,,,,,,,,,,,,,,,
223,223,williams-landing,3027, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,
224,224,williams-landing,3027, 3_house,$599k,29 days,-,35,955k,525k,410.0,$599k,0.7%,35.0,$595k,1%,25.0,$589k,-0.8%,23.0,$594k,7%,18.0,$555k,16.8%,29.0
225,225,williams-landing,3027, 4_house,$805k,49 days,31%,107,1.155m,680k,450.0,$805k,8.8%,107.0,$740k,8.5%,109.0,$682k,0.1%,70.0,$681k,-1.3%,83.0,$690k,6.2%,65.0
226,226,williams-landing,3027, 5_house,$1.02m,34 days,-,27,1.605m,730k,565.0,$1.02m,24.7%,27.0,$818k,1%,12.0,$810k,4.5%,13.0,$775k,-2.5%,12.0,$795k,-1.6%,17.0
227,227,williams-landing,3027, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
228,228,williams-landing,3027, 2_unit,$405k,180 days,-,10,440k,375k,375.0,$405k,-2.6%,10.0,$416k,-,13.0,,-,8.0,,-,8.0,$432k,12.2%,23.0
229,229,williams-landing,3027, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
230,230,altona-meadows,3028, 2_house,$519k,45 days,-,24,616k,405k,335.0,$519k,4.4%,24.0,$497k,-,22.0,,-,5.0,$460k,-3.2%,11.0,$475k,15.9%,17.0
231,231,altona-meadows,3028, 3_house,$735k,39 days,65%,149,900k,520k,380.0,$735k,9.2%,149.0,$673k,7.7%,136.0,$625k,0.8%,111.0,$620k,-2.4%,108.0,$635k,15%,124.0
232,232,altona-meadows,3028, 4_house,$850k,47 days,44%,52,1.29m,640k,435.0,$850k,12.6%,52.0,$755k,8.6%,53.0,$695k,-0.7%,35.0,$700k,-6%,51.0,$745k,16.4%,52.0
233,233,altona-meadows,3028, 5_house,$953k,51 days,-,14,1.35m,820k,,$953k,-,14.0,,-,6.0,,-,3.0,,-,5.0,,-,9.0
234,234,altona-meadows,3028, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
235,235,altona-meadows,3028, 2_unit,$485k,69 days,-,37,620k,412k,330.0,$485k,6.8%,37.0,$454k,-3.6%,39.0,$471k,4.7%,21.0,$450k,2.5%,22.0,$439k,8.4%,20.0
236,236,altona-meadows,3028, 3_unit,$605k,65 days,-,16,730k,405k,350.0,$605k,16.3%,16.0,$520k,-,11.0,,-,7.0,,-,5.0,$525k,22.1%,10.0
237,237,laverton,3028, 2_house,$520k,195 days,-,19,740k,395k,350.0,$520k,-,19.0,,-,8.0,,-,8.0,$480k,-11.9%,15.0,$545k,24.4%,10.0
238,238,laverton,3028, 3_house,$602k,76 days,87%,107,713k,500k,340.0,$602k,5.2%,107.0,$572k,2.5%,104.0,$558k,-0.9%,72.0,$563k,-1.2%,72.0,$570k,17%,98.0
239,239,laverton,3028, 4_house,$645k,-,-,10,780k,580k,400.0,$645k,5.2%,10.0,$613k,-,20.0,,-,8.0,$615k,9.8%,12.0,$560k,16.7%,11.0
240,240,laverton,3028, 2_unit,$477k,188 days,-,11,543k,380k,338.0,$477k,-,11.0,,-,5.0,,-,8.0,,-,6.0,$400k,-,10.0
241,241,laverton,3028, 3_unit,$568k,159 days,-,17,635k,420k,395.0,$568k,3.3%,17.0,$550k,-,15.0,,-,7.0,$448k,-11.8%,12.0,$508k,25.7%,14.0
242,242,seabrook,3028, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
243,243,seabrook,3028, 3_house,$729k,32 days,-,39,841k,488k,380.0,$729k,10.5%,39.0,$660k,5.6%,34.0,$625k,4.2%,30.0,$600k,-5.1%,38.0,$632k,22.7%,38.0
244,244,seabrook,3028, 4_house,$846k,20 days,-,18,960k,700k,440.0,$846k,11.3%,18.0,$760k,7.8%,28.0,$705k,1.4%,22.0,$695k,-4.1%,21.0,$725k,21.4%,26.0
245,245,seabrook,3028, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,
246,246,seabrook,3028, 2_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
247,247,seabrook,3028, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
248,248,hoppers-crossing,3029, 2_house,$430k,41 days,82%,39,560k,360k,320.0,$430k,-0.2%,39.0,$431k,-,22.0,,-,8.0,$402k,1.3%,16.0,$397k,19.9%,27.0
249,249,hoppers-crossing,3029, 3_house,$590k,41 days,65%,390,760k,463k,350.0,$590k,10.3%,390.0,$535k,4.9%,324.0,$510k,1%,268.0,$505k,-5.8%,247.0,$536k,19.1%,423.0
250,250,hoppers-crossing,3029, 4_house,$681k,41 days,57%,204,1.17m,565k,390.0,$681k,8.1%,204.0,$630k,6.8%,173.0,$590k,1.5%,138.0,$581k,-3.2%,153.0,$600k,17.2%,195.0
251,251,hoppers-crossing,3029, 5_house,$810k,46 days,-,32,2.52m,620k,440.0,$810k,13%,32.0,$717k,10.3%,35.0,$650k,1.7%,31.0,$639k,-3.3%,26.0,$661k,12.8%,29.0
252,252,hoppers-crossing,3029, 2_unit,$415k,67 days,-,28,490k,352k,307.0,$415k,10.4%,28.0,$376k,-5.3%,16.0,$397k,7.9%,13.0,$368k,-1.1%,10.0,$372k,18.1%,19.0
253,253,hoppers-crossing,3029, 3_unit,$465k,-,-,12,620k,380k,335.0,$465k,10.7%,12.0,$420k,-2.3%,18.0,$430k,3.4%,18.0,$416k,7.8%,17.0,$386k,2.7%,20.0
254,254,tarneit,3029, 2_house,$418k,82 days,-,36,840k,360k,330.0,$418k,5.6%,36.0,$396k,1.5%,27.0,$390k,-0.8%,25.0,$393k,3.4%,14.0,$380k,12.1%,27.0
255,255,tarneit,3029, 3_house,$555k,55 days,75%,412,695k,457k,370.0,$555k,9.9%,412.0,$505k,3.7%,334.0,$487k,-2.6%,196.0,$500k,1%,188.0,$495k,12.5%,293.0
256,256,tarneit,3029, 4_house,$662k,57 days,56%,792,860k,560k,400.0,$662k,11.3%,792.0,$595k2.6%6812020$580k,1.8%,5.0,$580k,1.8%,520.0,$570k,-3.2%,425.0,$589k,16.6%,460.0
257,257,tarneit,3029, 5_house,$816k,78 days,30%,63,1.215m,645k,475.0,$816k,10.3%,63.0,$740k,9%,57.0,$679k,-3.3%,30.0,$702k,3.2%,31.0,$680k,13.3%,27.0
258,258,tarneit,3029, 2_unit,$382k,236 days,-,14,440k,340k,330.0,$382k,-,14.0,,-,5.0,$350k,-,11.0,,-,6.0,$360k,18%,13.0
259,259,tarneit,3029, 3_unit,$478k,135 days,-,14,600k,410k,350.0,$478k,6.2%,14.0,$450k,4.7%,19.0,$430k,4.1%,13.0,$413k,-,10.0,,-,6.0
260,260,truganina,3029, 2_house,$437k,95 days,-,14,585k,405k,340.0,$437k,8.4%,14.0,$403k,-,12.0,,-,5.0,$415k,-,12.0,,-,8.0
261,261,truganina,3029, 3_house,$555k,51 days,49%,292,694k,460k,380.0,$555k,6.7%,292.0,$520k,4%,237.0,$500k,0.4%,129.0,$498k,1.6%,113.0,$490k,15.3%,199.0
262,262,truganina,3029, 4_house,$671k,62 days,50%,467,856k,570k,420.0,$671k,6.5%,467.0,$630k,5%,372.0,$600k,2.4%,269.0,$586k,-3%,222.0,$604k,15.7%,221.0
263,263,truganina,3029, 5_house,$830k,59 days,45%,37,1.45m,631k,500.0,$830k,0.2%,37.0,$828k,18.3%,24.0,$700k,-,13.0,,-,9.0,$705k,2.2%,11.0
264,264,truganina,3029, 2_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
265,265,truganina,3029, 3_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
266,266,point-cook,3030, 2_house,$470k,90 days,-,29,660k,369k,360.0,$470k,0.9%,29.0,$466k,4.7%,36.0,$445k,-3.3%,21.0,$460k,-3.2%,17.0,$475k,12.6%,49.0
267,267,point-cook,3030, 3_house,$646k,55 days,55%,336,842k,525k,390.0,$646k,8.6%,336.0,$595k,6.3%,295.0,$560k,-1.2%,258.0,$567k,-0.7%,251.0,$571k,12%,413.0
268,268,point-cook,3030, 4_house,$777k,51 days,48%,946,1.26m,620k,430.0,$777k,8.1%,946.0,$719k,8.4%,845.0,$663k,-0.6%,611.0,$667k,-2.1%,585.0,$681k,8.1%,675.0
269,269,point-cook,3030, 5_house,$1.078m,49 days,38%,130,1.728m,730k,530.0,$1.078m,19.8%,130.0,$900k,5.5%,94.0,$853k,6.2%,76.0,$803k,-5.5%,51.0,$850k,9.5%,76.0
270,270,point-cook,3030, 2_unit,$440k,76 days,-,19,555k,353k,360.0,$440k,-,19.0,,-,7.0,$390k,0.3%,15.0,$389k,12.8%,15.0,$345k,-,13.0
271,271,point-cook,3030, 3_unit,$530k,60 days,-,21,710k,465k,380.0,$530k,5.6%,21.0,$502k,0.4%,13.0,$500k,5.3%,18.0,$475k,1.1%,18.0,$470k,14.6%,24.0
272,272,werribee,3030, 2_house,$454k,66 days,58%,67,696k,250k,320.0,$454k,5.8%,67.0,$429k,-2.5%,50.0,$440k,12.8%,37.0,$390k,3.7%,47.0,$376k,17.5%,68.0
273,273,werribee,3030, 3_house,$545k,51 days,61%,537,822k,431k,340.0,$545k,9.7%,537.0,$497k,5.7%,499.0,$470k,-,369.0,$470k,-2.3%,377.0,$481k,14.5%,584.0
274,274,werribee,3030, 4_house,$650k,39 days,61%,396,955k,520k,390.0,$650k,9.2%,396.0,$595k,4.4%,336.0,$570k,1.8%,252.0,$560k,-1.8%,199.0,$570k,9.8%,241.0
275,275,werribee,3030, 5_house,$840k,90 days,41%,46,1.31m,650k,433.0,$840k,15.9%,46.0,$725k,-7.4%,29.0,$783k,8.8%,14.0,$720k,2.1%,27.0,$705k,10.2%,27.0
276,276,werribee,3030, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
277,277,werribee,3030, 2_unit,$375k,42 days,62%,57,482k,290k,300.0,$375k,4.2%,57.0,$360k,2.9%,41.0,$350k,-4.1%,51.0,$365k,10.6%,29.0,$330k,8.9%,52.0
278,278,werribee,3030, 3_unit,$438k,51 days,-,46,605k,335k,338.0,$438k,4.3%,46.0,$420k,5%,33.0,$400k,-4.8%,30.0,$420k,8%,22.0,$389k,13.4%,39.0
279,279,werribee-south,3030, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
280,280,werribee-south,3030, 3_house,$610k,165 days,-,20,1.4m,200k,350.0,$610k,-,20.0,$610k,3%,13.0,$592k,-,11.0,,-,5.0,,-,8.0
281,281,werribee-south,3030, 4_house,$1.05m,87 days,-,16,2.365m,660k,545.0,$1.05m,29.6%,16.0,$810k,-,15.0,,-,9.0,,-,7.0,$705k,-,10.0
282,282,werribee-south,3030, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
283,283,werribee-south,3030, 1_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
284,284,werribee-south,3030, 2_unit,$485k,218 days,-,14,650k,400k,380.0,$485k,6.4%,14.0,$456k,-,10.0,,-,5.0,,-,8.0,,-,2.0
285,285,werribee-south,3030, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
286,286,flemington,3031, 2_house,$1.07m,32 days,70%,23,1.465m,520k,500.0,$1.07m,8.1%,23.0,$990k,14.3%,33.0,$866k,14.2%,28.0,$758k,-15.6%,24.0,$898k,-2.2%,46.0
287,287,flemington,3031, 3_house,$1.345m,15 days,76%,30,1.775m,1.015m,630.0,$1.345m,-2%,30.0,$1.373m,32.7%,32.0,$1.035m,-0.7%,26.0,$1.042m,-7.8%,24.0,$1.13m,7.5%,24.0
288,288,flemington,3031, 4_house,-,-,-,9,,,,,,,,,,,,,,,,,,
289,289,flemington,3031, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,
290,290,flemington,3031, 1_unit,$315k,78 days,-,43,425k,165k,310.0,$315k,-4.5%,43.0,$330k,6.5%,27.0,$310k,2%,24.0,$304k,-5.6%,21.0,$322k,10.7%,40.0
291,291,flemington,3031, 2_unit,$535k,69 days,55%,39,863k,405k,380.0,$535k,1.3%,39.0,$528k,9.5%,26.0,$482k,15.3%,17.0,$418k,-14.2%,22.0,$487k,-0.2%,23.0
292,292,flemington,3031, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
293,293,kensington,3031, 2_house,$920k,36 days,67%,63,1.38m,626k,500.0,$920k,-5.4%,63.0,$973k,10.6%,56.0,$880k,16.7%,53.0,$754k,-10%,66.0,$838k,-4.6%,50.0
294,294,kensington,3031, 3_house,$1.22m,51 days,71%,74,1.918m,899k,628.0,$1.22m,6.9%,74.0,$1.141m,4.9%,59.0,$1.088m,10.5%,54.0,$985k,-7.8%,47.0,$1.068m,3%,55.0
295,295,kensington,3031, 4_house,$1.58m,40 days,74%,22,3.16m,1.032m,720.0,$1.58m,0.3%,22.0,$1.575m,20.2%,21.0,$1.31m,-8.4%,19.0,$1.43m,2.7%,15.0,$1.393m,2.1%,16.0
296,296,kensington,3031, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,
297,297,kensington,3031, 1_unit,$393k,85 days,-,17,470k,325k,343.0,$393k,-6%,17.0,$418k,10.3%,23.0,$379k,3.8%,24.0,$365k,-6.4%,29.0,$390k,1.3%,32.0
298,298,kensington,3031, 2_unit,$523k,81 days,36%,59,700k,379k,405.0,$523k,-3.1%,59.0,$540k,3.8%,44.0,$520k,-2.1%,50.0,$531k,6%,33.0,$501k,-,40.0
299,299,kensington,3031, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
300,300,ascot-vale,3032, 2_house,$1.08m,36 days,63%,45,1.535m,785k,500.0,$1.08m,11.9%,45.0,$965k,5.1%,51.0,$918k,18.5%,34.0,$775k,-8.8%,36.0,$850k,-7.3%,51.0
301,301,ascot-vale,3032, 3_house,$1.255m,32 days,72%,100,1.85m,925k,600.0,$1.255m,8.2%,100.0,$1.16m,8%,93.0,$1.074m,-2.4%,77.0,$1.1m,-1.6%,75.0,$1.118m,-4%,91.0
302,302,ascot-vale,3032, 4_house,$1.78m,38 days,63%,32,2.558m,1.22m,800.0,$1.78m,14%,32.0,$1.561m,1.4%,35.0,$1.539m,14.4%,37.0,$1.345m,-10.3%,37.0,$1.5m,11.1%,35.0
303,303,ascot-vale,3032, 5_house,$2.55m,-,-,11,5.5m,1.03m,,$2.55m,-,11.0,,-,5.0,,-,9.0,,-,9.0,,-,6.0
304,304,ascot-vale,3032, 1_unit,$290k,97 days,-,14,535k,210k,290.0,$290k,-15.5%,14.0,$343k,-4.2%,19.0,$358k,16.6%,22.0,$307k,-10.5%,17.0,$343k,19.9%,16.0
305,305,ascot-vale,3032, 2_unit,$539k,53 days,51%,60,850k,417k,380.0,$539k,-0.4%,60.0,$541k,-4.9%,81.0,$569k,13.8%,68.0,$500k,-3.8%,52.0,$520k,9.5%,51.0
306,306,ascot-vale,3032, 3_unit,$907k,26 days,75%,22,1.37m,745k,528.0,$907k,-5.6%,22.0,$961k,18.8%,18.0,$809k,-,22.0,,-,9.0,$850k,16.8%,17.0
307,307,maribyrnong,3032, 2_house,$614k,72 days,58%,30,910k,457k,390.0,$614k,1.3%,30.0,$606k,-9.6%,32.0,$670k,24.5%,19.0,$538k,-6.1%,26.0,$573k,14.6%,36.0
308,308,maribyrnong,3032, 3_house,$969k,60 days,55%,67,1.56m,630k,480.0,$969k,11.4%,67.0,$870k,-2.6%,58.0,$893k,9.6%,52.0,$815k,-12.9%,47.0,$936k,11.3%,89.0
309,309,maribyrnong,3032, 4_house,$1.326m,74 days,44%,34,2.672m,905k,660.0,$1.326m,13.8%,34.0,$1.165m,4.5%,61.0,$1.115m,-2.2%,38.0,$1.14m,-1.7%,30.0,$1.16m,-1.7%,27.0
310,310,maribyrnong,3032, 5_house,$1.47m,-,-,11,1.879m,800k,,$1.47m,5.4%,11.0,$1.395m,-,10.0,,-,7.0,,-,9.0,$1.503m,29%,10.0
311,311,maribyrnong,3032, 1_unit,$365k,246 days,-,35,560k,253k,335.0,$365k,-1.9%,35.0,$372k,2.5%,47.0,$363k,-4.5%,34.0,$380k,-1.3%,40.0,$385k,-,34.0
312,312,maribyrnong,3032, 2_unit,$524k,116 days,31%,138,730k,380k,395.0,$524k,3.6%,138.0,$506k,-0.8%,125.0,$510k,6.3%,103.0,$480k,-0.2%,71.0,$481k,4.8%,127.0
313,313,maribyrnong,3032, 3_unit,$740k,52 days,36%,22,1.4m,523k,495.0,$740k,-9.2%,22.0,$815k,14.8%,25.0,$710k,-1.4%,27.0,$720k,-,21.0,,-,8.0
314,314,travancore,3032, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,
315,315,travancore,3032, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,
316,316,travancore,3032, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,
317,317,travancore,3032, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
318,318,travancore,3032, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
319,319,travancore,3032, 2_unit,$340k,81 days,-,54,510k,300k,360.0,$340k,-10.1%,54.0,$378k,9.6%,39.0,$345k,-,46.0,$345k,-1.4%,28.0,$350k,6.4%,62.0
320,320,travancore,3032, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
321,321,keilor-east,3033, 2_house,$695k,-,83%,23,1.065m,602k,395.0,$695k,-2.8%,23.0,$715k,17.2%,17.0,$610k,-2.1%,21.0,$623k,-13.6%,18.0,$721k,26.5%,17.0
322,322,keilor-east,3033, 3_house,$906k,47 days,71%,146,1.3m,670k,440.0,$906k,7.2%,146.0,$845k,4.4%,141.0,$809k,7.9%,106.0,$750k,-11%,98.0,$843k,9.5%,118.0
323,323,keilor-east,3033, 4_house,$1.23m,29 days,67%,82,1.9m,900k,550.0,$1.23m,16.6%,82.0,$1.055m,10%,63.0,$959k,2.2%,66.0,$938k,-10.2%,54.0,$1.045m,18.3%,48.0
324,324,keilor-east,3033, 5_house,$1.35m,-,92%,19,2.98m,910k,,$1.35m,3.8%,19.0,$1.3m,32.4%,11.0,$982k,-,12.0,,-,8.0,$1.029m,-,10.0
325,325,keilor-east,3033, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
326,326,keilor-east,3033, 2_unit,-,-,-,8,,,,,,,,,,,,,,,,,,
327,327,keilor-east,3033, 3_unit,-,-,-,9,,,,,,,,,,,,,,,,,,
328,328,avondale-heights,3034, 2_house,$690k,-,75%,15,1.225m,540k,400.0,$690k,-2.3%,15.0,$706k,5.4%,14.0,$670k,-,11.0,,-,4.0,$750k,7.9%,17.0
329,329,avondale-heights,3034, 3_house,$928k,35 days,76%,121,1.191m,710k,420.0,$928k,6.7%,121.0,$870k,11.4%,107.0,$781k,3.4%,77.0,$755k,-8.4%,73.0,$824k,5.1%,86.0
330,330,avondale-heights,3034, 4_house,$1.26m,45 days,77%,56,1.615m,873k,595.0,$1.26m,26%,56.0,$1m,6.5%,39.0,$939k,0.6%,40.0,$933k,-10.4%,30.0,$1.041m,20.9%,30.0
331,331,avondale-heights,3034, 5_house,$1.39m,-,54%,13,1.99m,1.057m,,$1.39m,30.5%,13.0,$1.065m,-,12.0,,-,9.0,$1.02m,-8.8%,11.0,$1.118m,13.5%,10.0
